source_expression,modality,modality_class,input_scale,probe_based,gene_aggregation,transform,status,provenance_kind,normalization_provenance,sample_binding_rule,matrix_features,matrix_columns,samples_declared,samples_bound,samples_one_row_several_libraries,samples_no_matching_column,matrix_columns_bound,matrix_columns_unbound,native_features,mapped_native_features,features_without_canonical_gene,canonical_genes,samples,input_nan_fraction,min,max,negative_fraction,zero_fraction,integer_like_fraction,output_min,output_max,output_negative_fraction,output_zero_fraction,route_check_expected,route_check_genes,route_check_max_abs_diff,linear_library_sum_min,linear_library_sum_max,canonical_count_mass_fraction_min,canonical_count_mass_fraction_median,canonical_count_mass_fraction_max,native_count_mass_median,library_denominator_max_rel_dev,canonical_cpm_mass_identity_holds,preprocessing_scope,fold_isolation,author_batch_corrected,failure,output_relpath,output_size_bytes
GIDE_bulk,bulk RNA-seq,BULK_RNA,UNKNOWN,False,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,SEMANTICS_NOT_ESTABLISHED,no admissible provenance,"the file is titled 'cancercell_normalized_counts_genenames' and is non-integer, while the only local documentation (data/raw/PRJEB23709/README.md) describes the accession as ""the read counts obtained from RNAseq data"" and names neither the normalization applied nor its divisor. Declaring RAW_COUNTS would fail the integer contract; declaring any linear abundance would license a second, undocumented normalization of already-normalized data",NATIVE_ID_HEADER,22300,93,91,91,0,,91,2,22300,0,22300,0,0,,,,,,,,,,,,,,,,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,"the file is titled 'cancercell_normalized_counts_genenames' and is non-integer, while the only local documentation (data/raw/PRJEB23709/README.md) describes the accession as ""the read counts obtained from RNAseq data"" and names neither the normalization applied nor its divisor. Declaring RAW_COUNTS would fail the integer contract; declaring any linear abundance would license a second, undocumented normalization of already-normalized data",,0
GSE111014_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_NATIVE_CPM_PLUS_1,QUANTITATIVE_READY,derivation code in this repository (we produced this file),"written by longitudinal-data/src/cll_sparse_qc.py as per-donor/per-day sums of raw per-cell counts, with the barcode set checked against the GEO donor and timepoint manifest",DERIVED_DONOR_DAY,33694,12,12,12,0,,12,0,33694,22470,11224,22390,12,0.0,0.0,1702221.0,0.0,0.5223308798797016,1.0,0.0,17.78566288843786,0.0,0.3857823433080244,LOG2_OF_NATIVE_CPM_PLUS_1,22313.0,0.0,987093.0890357014,995899.1912903774,0.9870930890357165,0.9928291308317454,0.9958991912904044,5967448.0,4.6699907096932265e-14,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE111014_pseudobulk.canonical_log_expression.parquet,595191
GSE116256_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",NATIVE_ID_HEADER,27899,35,36,35,0,,35,0,27899,25935,1964,25850,35,0.0,0.0,16.612590148298377,0.0,0.4565847214185864,,0.0,16.612590148298377,0.0,0.4402077922077922,IDENTITY,25770.0,0.0,893993.2798287325,964154.5049347015,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE116256_pseudobulk.canonical_log_expression.parquet,1346000
GSE123813_BCC_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",NATIVE_ID_HEADER,23309,22,22,22,0,,22,0,23309,18800,4509,18763,22,0.0,0.0,15.317439382868834,0.0,0.35392688739035644,,0.0,15.317439382868834,0.0,0.27091519576729833,IDENTITY,18728.0,0.0,951135.3385391532,996037.6080511806,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE123813_BCC_pseudobulk.canonical_log_expression.parquet,1070905
GSE123813_SCC_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",NATIVE_ID_HEADER,18347,8,8,8,0,,8,0,18347,15650,2697,15629,8,0.0,0.0,14.27947900721917,0.0,0.24514907069275632,,0.0,14.27947900721917,0.0,0.20081259197645404,IDENTITY,15608.0,0.0,993931.068537048,996514.0547448394,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE123813_SCC_pseudobulk.canonical_log_expression.parquet,449681
GSE139533_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_NATIVE_CPM_PLUS_1,QUANTITATIVE_READY,file name as distributed by the submitter + GEO series-matrix !Sample_data_processing (verbatim),"file name 'GSE139533_mergede_protein_coding_counts.tab.gz' declares counts; GEO data processing: ""read counts matrix produced with featureCounts""",GEO_SAMPLE_LABEL,18445,155,56,25,31,,25,130,18445,18435,10,18425,25,0.0,0.0,448883.0,0.0,0.20688750338845216,1.0,0.0,16.678362202376338,0.0,0.20670176390773407,LOG2_OF_NATIVE_CPM_PLUS_1,18415.0,0.0,999466.508847519,999806.5176852832,0.9994665088475229,0.9997456524158197,0.9998065176852844,8490631.0,2.8064230251692513e-14,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE139533_bulk.canonical_log_expression.parquet,1267806
GSE152469_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_NATIVE_CPM_PLUS_1,QUANTITATIVE_READY,derivation code in this repository (we produced this file),"written by our single-cell QC as sums of the deposited UMI count table, one column per donor/timepoint pseudobulk",NATIVE_ID_HEADER,33694,3,3,3,0,,3,0,33694,22503,11191,22423,3,0.0,0.0,773928.0,0.0,0.4882966304584397,1.0,0.0,16.192482475069117,0.0,0.3609686482629443,LOG2_OF_NATIVE_CPM_PLUS_1,22346.0,0.0,991478.8353987425,992223.6787564779,0.9914788353987248,0.9918697053313503,0.9922236787564948,11318758.0,1.7729792072462996e-14,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE152469_pseudobulk.canonical_log_expression.parquet,285989
GSE165897_pseudobulk,scRNA-seq pseudobulk,SCRNA_PSEUDOBULK,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,derivation code in this repository (we produced this file),"written by longitudinal-data/src/single_cell_qc.py as np.log2(cpm + 1) of our own pseudobulk counts, so the values are already log2 CPM",NATIVE_ID_HEADER,32847,22,22,22,0,,22,0,32847,23209,9638,23154,22,0.0,0.0,16.300561838284818,0.0,0.2230271479061323,,0.0,16.300561838284818,0.0,0.1547072172881968,IDENTITY,23100.0,0.0,989836.5454316124,993414.9901407864,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE165897_pseudobulk.canonical_log_expression.parquet,1393455
GSE18728_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LOG,True,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Probe-level data were normalized and gene expression summaries were computed for each probe set using Robust Multichip Analysis (RMA)""; RMA output is already log2-scale",GSM_ID_HEADER,54675,61,61,61,0,,61,0,54675,42232,12443,19931,61,0.0,5.643856049,15.07926178,0.0,0.0,,5.643856049,14.98448086,0.0,0.0,IDENTITY,9020.0,0.0,4853650.579803796,7096647.180073016,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE18728_array.canonical_log_expression.parquet,8371503
GSE20181_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LINEAR,True,MEDIAN_AFTER_TRANSFORM,LOG2_X_PLUS_1_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,GEO sample metadata field value (verbatim),"GEO !Sample_data_processing value for all 176 samples is ""MAS5""; Affymetrix MAS5 reports a linear normalized intensity, not a log2 value, so the flagged extension route log2(x + 1) applies and no library-size renormalization is legitimate for array intensity",GSM_ID_HEADER,22283,176,176,176,0,,176,0,22283,20048,2235,12515,176,0.0,0.0,108791.3,0.0,1.529906614500251e-06,,0.0,15.522121727670461,0.0,1.8160026150437657e-06,LOG2_OF_X_PLUS_1,7974.0,0.0,2724995.5744341407,3682681.7285425505,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE20181_array.canonical_log_expression.parquet,16519782
GSE207422_bulk,bulk RNA-seq,BULK_RNA,LOG2_TPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,QUANTITATIVE_READY,file name as distributed by the submitter,"file name 'GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz' declares log2 TPM, so the values are already transformed and must not be logged again",NATIVE_ID_HEADER,58387,24,39,24,0,,24,0,58387,34965,23422,34848,24,0.0,0.0,17.3811696570157,0.0,0.5465685854727936,,0.0,17.3811696570157,0.0,0.41895517676767674,IDENTITY,34735.0,0.0,949263.8584814447,986316.3815199869,,,,,,,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE207422_bulk.canonical_log_expression.parquet,5306314
GSE310856_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_NATIVE_CPM_PLUS_1,QUANTITATIVE_READY,file name as distributed by the submitter + GEO series-matrix !Sample_data_processing (verbatim),"file name 'GSE310856_raw_counts.txt.gz' declares raw counts; GEO data processing: ""Bulk RNA-Seq reads were aligned using STAR v2.7.9a to GENCODE Human Release 39 (GRCh38.p13) and read counts matrix produced""",GEO_SAMPLE_LABEL,59385,33,33,33,0,,33,0,59385,39479,19906,39362,33,0.0,0.0,783907.0,0.0,0.5032711556076042,1.0,0.0,14.31594124985804,0.0,0.43111568918184434,LOG2_OF_NATIVE_CPM_PLUS_1,39250.0,0.0,990933.3140860456,993924.3563649475,0.9909333140859885,0.9922753872381872,0.9939243563648814,38919810.0,1.2038964932811513e-13,True,OUR_C1_PER_SAMPLE,FOLD_INDEPENDENT,False,,longitudinal-data/data/processed/expression_v0.3/GSE310856_bulk.canonical_log_expression.parquet,3250867
